date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-06-11,10000.0,10000.0,10000.0,10000.0,521420140000,52142014,906,10000.0,10000.0
2022-06-12,10000.0,10000.0,10000.0,10000.0,271181960000,27118196,578,10000.0,10000.0
2022-06-13,10000.0,10000.0,10000.0,10000.0,801658680000,80165868,1079,10000.0,10000.0
2022-07-03,10126.0,10127.0,10125.0,10126.0,37197212500,3673524,47,10000.0,10126.0
2022-07-04,10133.0,10133.0,10131.0,10131.0,3263816196,322153,99,10126.0,10132.0
2022-07-05,10138.0,10138.0,10137.0,10137.0,2441338491,240831,61,10131.0,10137.0
2022-07-06,10146.0,10148.0,10146.0,10147.0,101015241767,9955191,259,10137.0,10147.0
2022-07-09,10162.0,10163.0,10162.0,10162.0,1251705512,123175,37,10147.0,10163.0
2022-07-11,10175.0,10176.0,10175.0,10175.0,23311155771,2290925,88,10162.0,10176.0
2022-07-12,10183.0,10184.0,10183.0,10183.0,79719751351,7828485,178,10175.0,10184.0
2022-07-13,10192.0,10212.0,10191.0,10191.0,11037636348,1083045,66,10183.0,10191.0
2022-07-16,10204.0,10204.0,10203.0,10203.0,39173597297,3839356,108,10191.0,10204.0
2022-07-17,10209.0,10211.0,10209.0,10209.0,2859442179,280083,35,10203.0,10210.0
2022-07-19,10219.0,10220.0,10219.0,10220.0,82378321992,8060687,186,10209.0,10220.0
2022-07-20,10227.0,10227.0,10225.0,10226.0,52416061043,5125706,107,10220.0,10227.0
2022-07-23,10007.0,10007.0,10006.0,10007.0,110721931927,11064655,306,10226.0,10007.0
2022-07-24,10011.0,10012.0,10011.0,10011.0,34871379908,3483290,119,10007.0,10012.0
2022-07-25,10017.0,10018.0,10017.0,10018.0,59762958437,5965567,144,10011.0,10017.0
2022-07-26,10023.0,10024.0,10023.0,10024.0,27329160059,2726483,94,10018.0,10024.0
2022-07-27,10028.0,10030.0,10028.0,10029.0,133447716153,13306206,287,10024.0,10029.0
2022-07-30,10044.0,10045.0,10044.0,10044.0,15626811700,1555796,65,10029.0,10045.0
2022-07-31,10052.0,10052.0,10051.0,10051.0,138734554739,13802958,315,10044.0,10052.0
2022-08-01,10058.0,10058.0,10057.0,10058.0,29822356544,2965052,84,10051.0,10058.0
2022-08-02,10064.0,10064.0,10063.0,10063.0,18182669945,1806821,65,10058.0,10064.0
2022-08-03,10072.0,10072.0,10070.0,10071.0,40074075587,3979266,81,10063.0,10071.0
2022-08-06,10086.0,10088.0,10086.0,10087.0,41320827589,4096327,115,10071.0,10088.0
2022-08-09,10101.0,10102.0,10101.0,10101.0,10357879730,1025395,48,10087.0,10102.0
2022-08-10,10111.0,10111.0,10109.0,10109.0,15483325268,1531576,47,10101.0,10110.0
2022-08-13,10124.0,10124.0,10123.0,10123.0,131994386114,13039035,197,10109.0,10123.0
2022-08-14,10130.0,10131.0,10130.0,10130.0,102931769489,10161050,221,10123.0,10130.0
2022-08-15,10137.0,10137.0,10136.0,10137.0,2761078221,272380,26,10130.0,10137.0
2022-08-16,10142.0,10143.0,10142.0,10142.0,45775982324,4513472,105,10137.0,10142.0
2022-08-17,10150.0,10151.0,10150.0,10151.0,3378920621,332871,25,10142.0,10150.0
2022-08-20,10164.0,10165.0,10164.0,10165.0,163234759013,16059006,336,10151.0,10165.0
2022-08-21,10172.0,10172.0,10171.0,10172.0,11125303728,1093744,43,10165.0,10171.0
2022-08-22,10177.0,10178.0,10177.0,10177.0,5187278229,509693,27,10172.0,10178.0
2022-08-23,10007.0,10007.0,10006.0,10007.0,15401938843,1539140,89,10177.0,10007.0
2022-08-24,10016.0,10016.0,10013.0,10014.0,139713095832,13951631,200,10007.0,10015.0
2022-08-27,10028.0,10029.0,10028.0,10028.0,328627851415,32769726,625,10014.0,10028.0
2022-08-28,10035.0,10035.0,10034.0,10035.0,126264284699,12582420,266,10028.0,10035.0
2022-08-29,10041.0,10041.0,10040.0,10040.0,55427604845,5520645,137,10035.0,10040.0
2022-08-30,10046.0,10047.0,10046.0,10047.0,506029004857,50366189,932,10040.0,10046.0
2022-08-31,10054.0,10055.0,10054.0,10054.0,62459623805,6212309,104,10047.0,10055.0
2022-09-03,10069.0,10069.0,10068.0,10068.0,30226903581,3002249,80,10054.0,10068.0
2022-09-04,10074.0,10075.0,10074.0,10074.0,516242217950,51244926,680,10068.0,10075.0
2022-09-05,10080.0,10081.0,10080.0,10081.0,10180197760,1009872,27,10074.0,10080.0
2022-09-06,10087.0,10087.0,10086.0,10086.0,41602127823,4124725,100,10081.0,10086.0
2022-09-07,10094.0,10095.0,10094.0,10095.0,102781508319,10181434,219,10086.0,10095.0
2022-09-10,10109.0,10109.0,10108.0,10108.0,6985591901,691090,33,10095.0,10108.0
2022-09-11,10114.0,10115.0,10114.0,10114.0,82359919698,8143151,126,10108.0,10114.0
2022-09-12,10120.0,10121.0,10120.0,10120.0,24139458448,2385300,61,10114.0,10120.0
2022-09-13,10127.0,10127.0,10126.0,10126.0,26789750420,2645615,69,10120.0,10127.0
2022-09-14,10135.0,10137.0,10135.0,10136.0,2158154275,212929,13,10126.0,10136.0
2022-09-18,10153.0,10154.0,10153.0,10153.0,114387361518,11266339,236,10136.0,10153.0
2022-09-19,10160.0,10160.0,10159.0,10159.0,91421070017,8999003,186,10153.0,10159.0
2022-09-20,10165.0,10166.0,10165.0,10166.0,166279732271,16357065,335,10159.0,10165.0
2022-09-21,10173.0,10175.0,10173.0,10173.0,516632990474,50784718,793,10166.0,10173.0
2022-09-24,10011.0,10013.0,10011.0,10011.0,63819918437,6374801,172,10173.0,10012.0
2022-09-26,10022.0,10024.0,10022.0,10022.0,110030553174,10978867,272,10011.0,10022.0
2022-09-28,10035.0,10036.0,10034.0,10034.0,8664413873,863466,62,10022.0,10034.0
2022-10-01,10049.0,10049.0,10048.0,10048.0,46960129419,4673563,149,10034.0,10048.0
2022-10-02,10055.0,10056.0,10055.0,10055.0,22832501992,2270732,65,10048.0,10056.0
2022-10-03,10062.0,10062.0,10061.0,10062.0,2983326389,296499,37,10055.0,10062.0
2022-10-04,10071.0,10072.0,10070.0,10072.0,52329309704,5195572,127,10062.0,10071.0
2022-10-08,10088.0,10089.0,10088.0,10088.0,10505361930,1041355,47,10072.0,10089.0
2022-10-09,10095.0,10096.0,10095.0,10096.0,153452939718,15199389,289,10088.0,10096.0
2022-10-10,10101.0,10104.0,10101.0,10103.0,3169323466,313705,23,10096.0,10104.0
2022-10-11,10109.0,10110.0,10109.0,10109.0,359529901383,35565250,730,10103.0,10109.0
2022-10-12,10117.0,10118.0,10117.0,10117.0,20081686798,1984940,49,10109.0,10117.0
2022-10-15,10132.0,10132.0,10131.0,10131.0,141798355865,13996445,300,10117.0,10131.0
2022-10-16,10140.0,10141.0,10140.0,10140.0,63606333502,6272671,163,10131.0,10141.0
2022-10-17,10147.0,10148.0,10147.0,10147.0,4173348390,411279,32,10140.0,10147.0
2022-10-18,10153.0,10154.0,10153.0,10153.0,187508995706,18467770,394,10147.0,10154.0
2022-10-19,10157.0,10162.0,10157.0,10160.0,200354601414,19719998,322,10153.0,10161.0
2022-10-22,10176.0,10177.0,10176.0,10176.0,13080961566,1285414,52,10160.0,10177.0
2022-10-23,10007.0,10007.0,10006.0,10007.0,27552948838,2753374,144,10176.0,10007.0
2022-10-24,10013.0,10013.0,10012.0,10013.0,19469827726,1944547,93,10007.0,10013.0
2022-10-25,10018.0,10019.0,10018.0,10018.0,615844878105,61473778,899,10013.0,10018.0
2022-10-26,10028.0,10028.0,10026.0,10026.0,275897377204,27518067,529,10018.0,10027.0
2022-10-29,10041.0,10041.0,10040.0,10041.0,27595965980,2748441,91,10026.0,10041.0
2022-10-30,10046.0,10047.0,10046.0,10046.0,7976313942,793962,36,10041.0,10047.0
2022-10-31,10052.0,10053.0,10052.0,10052.0,154625710880,15382567,326,10046.0,10053.0
2022-11-01,10058.0,10059.0,10058.0,10058.0,17596203540,1749389,75,10052.0,10059.0
2022-11-02,10067.0,10068.0,10066.0,10067.0,605503841925,60147398,1037,10058.0,10066.0
2022-11-05,10080.0,10082.0,10080.0,10081.0,494794926792,49081979,977,10067.0,10081.0
2022-11-06,10087.0,10087.0,10086.0,10087.0,58777817079,5827141,139,10081.0,10087.0
2022-11-07,10087.0,10094.0,10086.0,10092.0,414185424987,41039183,801,10087.0,10093.0
2022-11-08,10098.0,10099.0,10098.0,10099.0,122382369706,12118500,272,10092.0,10099.0
2022-11-09,10107.0,10108.0,10106.0,10107.0,141044535349,13955276,197,10099.0,10108.0
2022-11-12,10120.0,10121.0,10120.0,10120.0,220313293831,21769561,405,10107.0,10121.0
