date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-12-09,41430.0,41430.0,41430.0,41430.0,14168872032090,341995463,4519898,1000.0,41430.0
2020-12-12,43500.0,43500.0,43500.0,42500.0,31565122500,725635,10094,41430.0,43500.0
2020-12-13,44620.0,44620.0,44620.0,43530.0,30347980660,680143,9494,42500.0,44620.0
2020-12-14,45700.0,45700.0,45700.0,45700.0,103881675400,2273122,10887,43530.0,45700.0
2020-12-15,47980.0,47980.0,47980.0,47980.0,127954551380,2666831,16318,45700.0,47980.0
2020-12-16,50370.0,50370.0,50370.0,50370.0,89775962100,1782330,17291,47980.0,50370.0
2020-12-19,52880.0,52880.0,52880.0,52880.0,118731516880,2245301,17189,50370.0,52880.0
2020-12-20,55520.0,55520.0,55520.0,55520.0,316784961120,5705781,29029,52880.0,55520.0
2020-12-21,58290.0,58290.0,58290.0,58290.0,219297472200,3762180,30369,55520.0,58290.0
2020-12-22,61200.0,61200.0,61200.0,61200.0,799783020000,13068350,70051,58290.0,61200.0
2020-12-23,64260.0,64260.0,64260.0,64260.0,419413453200,6526820,53845,61200.0,64260.0
2020-12-26,67470.0,67470.0,67030.0,67470.0,7295672842810,108133476,579968,64260.0,67470.0
2020-12-27,67940.0,70000.0,65800.0,67630.0,3118787665800,46113231,375224,67470.0,67640.0
2020-12-28,66800.0,66800.0,64250.0,64620.0,475410362290,7357217,19405,67630.0,64250.0
2020-12-29,61390.0,61390.0,61390.0,61390.0,202825315980,3303882,3252,64620.0,61390.0
2020-12-30,58330.0,61050.0,58330.0,58670.0,5042767599160,85944794,507703,61390.0,58330.0
2021-01-02,57100.0,57800.0,55740.0,55960.0,1050870879000,18778812,63412,58670.0,55740.0
2021-01-03,54650.0,58750.0,54500.0,58210.0,3414317611800,58655954,199725,55960.0,58750.0
2021-01-04,59380.0,60500.0,55300.0,56290.0,2332894454340,41445964,111866,58210.0,55300.0
2021-01-05,54800.0,56310.0,53480.0,54130.0,1922580434140,35518298,87992,56290.0,53480.0
2021-01-06,53260.0,53850.0,51430.0,51800.0,1274053116690,24597041,78000,54130.0,51430.0
2021-01-09,51000.0,52950.0,49210.0,49590.0,1095396375110,22088792,63608,51800.0,49220.0
2021-01-10,50700.0,52000.0,49990.0,51210.0,855064599650,16697872,49943,49590.0,51150.0
2021-01-11,51190.0,52420.0,49200.0,50780.0,819854300820,16144031,44783,51210.0,50080.0
2021-01-12,49310.0,49310.0,48250.0,48280.0,806249649990,16699353,34995,50780.0,48250.0
2021-01-13,46200.0,47830.0,45910.0,46390.0,498178703430,10739965,35347,48280.0,46090.0
2021-01-16,45500.0,45860.0,44080.0,44140.0,685697127250,15533442,34878,46390.0,44080.0
2021-01-18,42800.0,42990.0,41940.0,42180.0,447934982550,10618890,35237,44140.0,42990.0
2021-01-19,42400.0,44280.0,42400.0,44170.0,197853781030,4479860,15440,42180.0,44280.0
2021-01-20,46370.0,46370.0,46370.0,46370.0,141174485140,3044522,11450,44170.0,46370.0
2021-01-23,48670.0,48680.0,47100.0,48620.0,1533033715220,31528545,32625,46370.0,48680.0
2021-01-24,49300.0,49300.0,46190.0,46960.0,708413471870,15086105,22757,48620.0,46190.0
2021-01-25,44620.0,46230.0,44620.0,44840.0,713177055080,15903881,25609,46960.0,44630.0
2021-01-26,43710.0,45750.0,42660.0,43420.0,424030910390,9766182,23112,44840.0,42740.0
2021-01-27,43530.0,45590.0,42320.0,44760.0,424488647430,9482611,26100,43420.0,45590.0
2021-01-30,46500.0,46990.0,46100.0,46950.0,485923004030,10350397,21457,44760.0,46990.0
2021-01-31,48000.0,48430.0,45030.0,46170.0,537144675970,11635126,24941,46950.0,46430.0
2021-02-01,45990.0,47250.0,43900.0,45350.0,293157699720,6464539,19479,46170.0,44240.0
2021-02-02,44000.0,45500.0,43100.0,43880.0,238256354610,5429996,19598,45350.0,43920.0
2021-02-03,43450.0,45700.0,42000.0,42790.0,256897286720,6003775,21434,43880.0,43040.0
2021-02-06,43180.0,43180.0,41450.0,41770.0,356332489870,8531031,16661,42790.0,41510.0
2021-02-07,42900.0,43850.0,42900.0,43750.0,162865891110,3723068,12567,41770.0,43850.0
2021-02-08,44900.0,44900.0,42370.0,43650.0,292974815100,6711959,17426,43750.0,43130.0
2021-02-09,43670.0,45300.0,42590.0,43860.0,327926708220,7476589,21085,43650.0,44580.0
2021-02-13,45500.0,46490.0,44490.0,45590.0,338988030630,7435022,20770,43860.0,46150.0
2021-02-14,46890.0,46890.0,44680.0,45510.0,290781158990,6389557,11756,45590.0,44680.0
2021-02-15,44600.0,45180.0,44600.0,44600.0,179547095300,4025358,6323,45510.0,44600.0
2021-02-16,43710.0,43720.0,43710.0,43710.0,85368619490,1953066,2021,44600.0,43710.0
2021-02-17,43700.0,43700.0,42840.0,42900.0,206179680880,4806298,14813,43710.0,42870.0
2021-02-20,42130.0,42900.0,42050.0,42070.0,254976945010,6060742,12134,42900.0,42050.0
2021-02-21,41580.0,42890.0,41400.0,41670.0,307555770760,7379926,13376,42070.0,41460.0
2021-02-22,42000.0,42550.0,41800.0,41940.0,244689965830,5834234,25282,41670.0,41950.0
2021-02-23,42000.0,43700.0,42000.0,42780.0,228679453000,5345511,31384,41940.0,43260.0
2021-02-24,43250.0,43260.0,41930.0,42090.0,242098805630,5751527,38773,42780.0,42010.0
2021-02-27,41270.0,41990.0,41270.0,41510.0,145710343500,3509838,10881,42090.0,41500.0
2021-02-28,41530.0,41640.0,41200.0,41520.0,228024729160,5491959,13057,41510.0,41510.0
2021-03-01,41000.0,42520.0,41000.0,41650.0,162952819070,3912669,17647,41520.0,42010.0
2021-03-02,41520.0,43030.0,41520.0,42220.0,147697538740,3498655,18108,41650.0,42200.0
2021-03-03,42200.0,42830.0,41530.0,42170.0,189656868170,4497265,14204,42220.0,42030.0
2021-03-06,41630.0,42770.0,41630.0,42020.0,146121534460,3477248,14046,42170.0,42310.0
2021-03-07,41700.0,42330.0,41700.0,42000.0,83862230630,1996805,12898,42020.0,42040.0
2021-03-08,41730.0,43030.0,41730.0,42420.0,220992773470,5209348,26149,42000.0,42420.0
2021-03-09,42210.0,43000.0,41900.0,42370.0,210441675030,4966296,29046,42420.0,41900.0
2021-03-10,41760.0,42800.0,41540.0,42100.0,118029622810,2803450,9594,42370.0,42110.0
2021-03-13,42100.0,43600.0,41510.0,42710.0,219795907770,5145994,13901,42100.0,43000.0
2021-03-14,42720.0,43650.0,42300.0,42910.0,122298381490,2849822,12449,42710.0,42710.0
2021-03-15,42500.0,44500.0,42300.0,43630.0,328555852310,7530979,13674,42910.0,44070.0
2021-03-16,44290.0,46240.0,44000.0,45740.0,794144866230,17363093,16965,43630.0,46240.0
2021-03-17,46440.0,47100.0,45030.0,45930.0,288698683610,6285200,11220,45740.0,45800.0
2021-03-27,45110.0,46940.0,45020.0,45550.0,171150614190,3757544,8881,45930.0,45020.0
2021-03-28,45000.0,45850.0,44640.0,44680.0,181452905880,4061313,4837,45550.0,44670.0
2021-03-30,44500.0,45550.0,43800.0,44820.0,143455628430,3200895,9512,44680.0,45300.0
2021-03-31,45010.0,45500.0,43930.0,44320.0,64421810080,1453617,5673,44820.0,43930.0
2021-04-03,43440.0,43900.0,43440.0,43440.0,85501159150,1968050,3853,44320.0,43440.0
2021-04-04,42580.0,43240.0,42580.0,42590.0,102950720980,2417230,4930,43440.0,42580.0
2021-04-05,41740.0,42740.0,41740.0,42000.0,63960426400,1522814,7069,42590.0,42200.0
2021-04-06,42180.0,42960.0,41700.0,42020.0,71936917240,1711982,7113,42000.0,42100.0
2021-04-07,41600.0,42020.0,41560.0,41790.0,62893424820,1504856,5264,42020.0,41800.0
2021-04-10,40960.0,42470.0,40960.0,41730.0,173359093450,4154523,8880,41790.0,41460.0
2021-04-11,41110.0,42300.0,41110.0,41790.0,152676527980,3653684,6434,41730.0,41700.0
2021-04-12,41650.0,42990.0,41550.0,42380.0,129592210970,3057765,8051,41790.0,42430.0
2021-04-13,42510.0,44850.0,42510.0,43790.0,119607023480,2731388,9111,42380.0,43610.0
2021-04-14,43790.0,43790.0,42920.0,42960.0,101936160780,2373020,5001,43790.0,42920.0
2021-04-17,42110.0,44000.0,42110.0,42990.0,92824666930,2159238,5512,42960.0,42110.0
2021-04-18,42140.0,42750.0,42140.0,42300.0,47688865560,1131641,4078,42990.0,42140.0
2021-04-19,41510.0,42600.0,41510.0,42030.0,83139554720,1978228,5498,42300.0,42290.0
2021-04-20,41810.0,42500.0,41550.0,41990.0,62893492420,1497651,5378,42030.0,41640.0
2021-04-21,41610.0,41990.0,41400.0,41620.0,56610412000,1360540,3571,41990.0,41680.0
