date,open,high,low,adjClose,value,volume,count,yesterday,close
2005-05-17,1000.0,1000.0,1000.0,1000.0,1000000,1000,1,1000.0,1000.0
2005-11-05,1000.0,1000.0,1000.0,1000.0,500000,500,1,1000.0,1000.0
2006-01-23,1000.0,1000.0,1000.0,1000.0,6966000,6966,3,1000.0,1000.0
2006-01-28,1000.0,1000.0,1000.0,1000.0,330000,330,1,1000.0,1000.0
2006-06-26,1000.0,1000.0,1000.0,1000.0,584000,584,2,1000.0,1000.0
2008-05-19,1000.0,1000.0,1000.0,1000.0,1000000,1000,2,1000.0,1000.0
2022-06-27,95837.0,95837.0,95837.0,95837.0,205325980650,2142450,1434,1000.0,95837.0
2022-06-28,98700.0,98700.0,98700.0,98700.0,16506982800,167244,233,95837.0,98700.0
2022-06-29,101650.0,101650.0,101650.0,101650.0,33751052800,332032,482,98700.0,101650.0
2022-07-02,104650.0,104650.0,104650.0,104650.0,10609103050,101377,149,101650.0,104650.0
2022-07-03,107750.0,107750.0,107750.0,107750.0,12990986500,120566,185,104650.0,107750.0
2022-07-04,110950.0,110950.0,110950.0,110950.0,11351405450,102311,159,107750.0,110950.0
2022-07-05,114250.0,114250.0,114250.0,114250.0,11925072250,104377,166,110950.0,114250.0
2022-07-06,117650.0,117650.0,114000.0,117600.0,329892220600,2805481,4340,114250.0,117650.0
2022-07-09,121100.0,121100.0,114150.0,120750.0,64362953750,533118,771,117600.0,121100.0
2022-07-11,124350.0,124350.0,124350.0,121550.0,2369613600,19056,38,120750.0,124350.0
2022-07-27,125150.0,125150.0,125150.0,124950.0,9719774750,77665,87,121550.0,125150.0
2022-07-30,128650.0,128650.0,128650.0,125400.0,1216257100,9454,20,124950.0,128650.0
2022-07-31,129150.0,129150.0,129150.0,125800.0,1059804900,8206,24,125400.0,129150.0
2022-08-01,129550.0,129550.0,129550.0,126700.0,2544621100,19642,41,125800.0,129550.0
2022-08-02,130500.0,130500.0,130500.0,127000.0,821497500,6295,21,126700.0,130500.0
2022-08-03,130800.0,130800.0,130800.0,127750.0,2023606800,15471,37,127000.0,130800.0
2022-08-06,131550.0,131550.0,129150.0,131550.0,31518648450,239631,460,127750.0,131550.0
2022-08-09,135450.0,135450.0,135450.0,132550.0,2716585200,20056,48,131550.0,135450.0
2022-08-10,136500.0,136500.0,136500.0,132800.0,743788500,5449,19,132550.0,136500.0
