date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-09-15,7630.0,7630.0,7630.0,7630.0,1556519618500,203999950,2098792,1000.0,7630.0
2021-09-18,8011.0,8011.0,8011.0,7949.0,13201214746,1647886,3463,7630.0,8011.0
2021-09-19,8346.0,8346.0,8346.0,8295.0,14314057680,1715080,4842,7949.0,8346.0
2021-09-20,8709.0,8709.0,8709.0,8680.0,15922838880,1828320,7227,8295.0,8709.0
2021-09-21,9114.0,9114.0,9114.0,9114.0,19405364748,2129182,13368,8680.0,9114.0
2021-09-22,9569.0,9569.0,9569.0,9569.0,49534981090,5176610,75342,9114.0,9569.0
2021-09-25,10047.0,10047.0,10047.0,10047.0,38365926315,3818645,47218,9569.0,10047.0
2021-09-26,10549.0,10549.0,10549.0,10549.0,53762873010,5096490,71247,10047.0,10549.0
2021-09-28,11076.0,11076.0,11076.0,11076.0,475041886800,42889300,209659,10549.0,11076.0
2021-09-29,11629.0,11629.0,11629.0,11629.0,28998388383,2493627,16253,11076.0,11629.0
2021-10-03,12210.0,12210.0,12210.0,12210.0,45706657590,3743379,36682,11629.0,12210.0
2021-10-04,12820.0,12820.0,12820.0,12820.0,48870557920,3812056,42200,12210.0,12820.0
2021-10-06,13461.0,13461.0,13461.0,13461.0,92773400454,6892014,44903,12820.0,13461.0
2021-10-09,13470.0,13500.0,12788.0,13120.0,583807735417,44495856,109893,13461.0,12788.0
2021-10-10,12464.0,12989.0,12464.0,12494.0,680985498697,54505706,304983,13120.0,12879.0
2021-10-11,13000.0,13118.0,12800.0,13080.0,144933819184,11080159,49798,12494.0,13118.0
2021-10-12,13650.0,13734.0,13103.0,13608.0,404706495497,29739502,66491,13080.0,13734.0
2021-10-13,14100.0,14288.0,13850.0,14255.0,113664867874,7973766,23577,13608.0,14288.0
2021-10-16,14967.0,14967.0,14967.0,14967.0,50641398279,3383537,16094,14255.0,14967.0
2021-10-17,15020.0,15699.0,14310.0,15119.0,410339709199,27140249,55919,14967.0,15120.0
2021-10-18,15200.0,15510.0,14549.0,15255.0,255958228849,16778330,35220,15119.0,15270.0
2021-10-19,15256.0,15510.0,14810.0,15284.0,185999661153,12169342,28348,15255.0,15306.0
2021-10-20,15000.0,15326.0,14520.0,14816.0,219578994614,14820884,22966,15284.0,15060.0
2021-10-23,14715.0,15490.0,14493.0,15051.0,122716131659,8153409,19524,14816.0,15012.0
2021-10-25,15100.0,15300.0,15000.0,15113.0,114315277648,7564050,16703,15051.0,15181.0
2021-10-26,15120.0,15330.0,15120.0,15146.0,72951395212,4816467,12853,15113.0,15122.0
2021-10-27,15000.0,15100.0,14389.0,14467.0,128057093237,8851883,15716,15146.0,14389.0
2021-10-30,14000.0,14300.0,13744.0,13807.0,165746362226,12004687,24090,14467.0,13745.0
2021-10-31,13200.0,13818.0,13117.0,13212.0,98797534825,7478005,13154,13807.0,13550.0
2021-11-01,13610.0,13872.0,13610.0,13866.0,18303117608,1320002,6533,13212.0,13872.0
2021-11-02,14559.0,14559.0,14559.0,14559.0,15462749925,1062075,4875,13866.0,14559.0
2021-11-03,15286.0,15286.0,15286.0,15286.0,35139227510,2298785,5412,14559.0,15286.0
2021-11-06,16050.0,16050.0,16050.0,16050.0,43746714600,2725652,6498,15286.0,16050.0
2021-11-07,16852.0,16852.0,16290.0,16841.0,255522681692,15172265,8236,16050.0,16852.0
2021-11-08,17683.0,17683.0,16500.0,17404.0,442952725579,25451033,16874,16841.0,17250.0
2021-11-09,17030.0,17280.0,16534.0,16639.0,181818504277,10927417,9755,17404.0,16534.0
2021-11-10,16750.0,17190.0,15811.0,16673.0,164107831895,9842925,12869,16639.0,16931.0
2021-11-13,16506.0,16506.0,15905.0,16155.0,56494953235,3496967,8149,16673.0,16090.0
2021-11-14,16228.0,16962.0,16228.0,16952.0,83870807114,4947416,6391,16155.0,16962.0
2021-11-16,17799.0,17799.0,17799.0,17799.0,83952240717,4716683,9113,16952.0,17799.0
2021-11-17,18000.0,18688.0,18000.0,18624.0,146760060709,7880070,5515,17799.0,18688.0
2021-11-20,19555.0,19555.0,19555.0,19555.0,85082592590,4350938,4503,18624.0,19555.0
2021-11-21,20532.0,20532.0,20532.0,20532.0,84950944680,4137490,3988,19555.0,20532.0
2021-11-22,21450.0,21549.0,19506.0,20496.0,767993379459,37469564,19077,20532.0,21010.0
2021-11-23,21520.0,21520.0,21020.0,21516.0,183871711919,8545909,8747,20496.0,21520.0
2021-11-24,22000.0,22591.0,21722.0,22429.0,347893220963,15511036,11360,21516.0,22289.0
2021-11-27,22780.0,23550.0,22500.0,23416.0,331042939690,14137583,11241,22429.0,23550.0
2021-11-28,24350.0,24586.0,23612.0,24409.0,441841731215,18101744,11533,23416.0,24586.0
2021-11-29,24644.0,24644.0,23189.0,23403.0,94144050480,4022772,1904,24409.0,23189.0
2021-11-30,22233.0,22233.0,22233.0,22233.0,48474676599,2180303,381,23403.0,22233.0
2021-12-01,21122.0,21122.0,21122.0,21122.0,38302951630,1813415,233,22233.0,21122.0
2021-12-04,21397.0,22178.0,21397.0,22005.0,440109106731,20000157,12653,21122.0,22178.0
2021-12-05,22500.0,23105.0,22410.0,23050.0,240884815979,10450591,8494,22005.0,23105.0
2021-12-06,23380.0,23970.0,21898.0,23112.0,369474485222,15986081,9230,23050.0,23114.0
2021-12-07,23000.0,23336.0,21957.0,22131.0,128613177358,5811340,3880,23112.0,21957.0
2021-12-08,21025.0,21333.0,21025.0,21086.0,395563285689,18759345,8114,22131.0,21025.0
2021-12-11,20450.0,20905.0,20032.0,20184.0,111294137500,5513969,2340,21086.0,20032.0
2021-12-12,19175.0,19175.0,19175.0,19175.0,36689042325,1913379,536,20184.0,19175.0
2021-12-13,18217.0,19000.0,18217.0,18265.0,157331091809,8613889,3019,19175.0,18217.0
