date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-09-11,5500.0,5500.0,5500.0,5500.0,21999319496000,3999876272,3037246,1000.0,5500.0
2021-09-12,5775.0,5775.0,5775.0,5574.0,24780132300,4290932,3741,5500.0,5775.0
2021-09-13,5852.0,5852.0,5852.0,5674.0,33662231372,5752261,5213,5574.0,5852.0
2021-09-14,5957.0,5957.0,5957.0,5808.0,45287163208,7602344,7590,5674.0,5957.0
2021-09-15,6098.0,6098.0,6098.0,6098.0,190682862324,31269738,29236,5808.0,6098.0
2021-09-18,6402.0,6402.0,6402.0,6402.0,112350477756,17549278,11066,6098.0,6402.0
2021-09-19,6722.0,6722.0,6722.0,6722.0,177298927518,26375919,15642,6402.0,6722.0
2021-09-20,7058.0,7058.0,7058.0,7058.0,332939884246,47171987,32042,6722.0,7058.0
2021-09-21,7410.0,7410.0,6706.0,7313.0,8753091095065,1196913907,774834,7058.0,7151.0
2021-09-22,7200.0,7313.0,6948.0,6968.0,6794764383847,975075189,566710,7313.0,6949.0
2021-09-25,6855.0,7150.0,6620.0,6707.0,3790181992571,565084203,294711,6968.0,6620.0
2021-09-26,6540.0,6750.0,6372.0,6512.0,2270147634198,348622189,164599,6707.0,6650.0
2021-09-28,6660.0,6836.0,6512.0,6655.0,1131251867728,169979838,85077,6512.0,6630.0
2021-09-29,6660.0,6859.0,6500.0,6689.0,1195535337168,178726403,70643,6655.0,6728.0
2021-10-02,6780.0,6780.0,6550.0,6661.0,1323385723118,198690333,68998,6689.0,6665.0
2021-10-03,6665.0,6700.0,6500.0,6660.0,1278506974159,191981457,55013,6661.0,6662.0
2021-10-04,6670.0,6670.0,6430.0,6527.0,828519259954,126930732,49825,6660.0,6553.0
2021-10-06,6550.0,6550.0,6380.0,6462.0,837347766606,129579600,50984,6527.0,6415.0
2021-10-09,6360.0,6361.0,6139.0,6166.0,628425567769,101920503,36393,6462.0,6139.0
2021-10-10,5931.0,6078.0,5858.0,5876.0,785037249635,133596004,48126,6166.0,5858.0
2021-10-11,5800.0,6089.0,5800.0,5933.0,440340013772,74216171,26174,5876.0,5878.0
2021-10-12,5932.0,6229.0,5710.0,6084.0,1391632602325,228733098,37363,5933.0,6229.0
2021-10-13,6229.0,6362.0,6100.0,6206.0,489898709230,78936229,25612,6084.0,6180.0
2021-10-16,6270.0,6461.0,6230.0,6322.0,472707794547,74774235,20602,6206.0,6330.0
2021-10-17,6350.0,6350.0,6055.0,6164.0,578456673988,93845798,21540,6322.0,6220.0
2021-10-18,6049.0,6150.0,5920.0,5990.0,341057316078,56933460,17773,6164.0,6008.0
2021-10-19,5971.0,6050.0,5970.0,5995.0,334893340755,55864408,16511,5990.0,6010.0
2021-10-20,5940.0,6152.0,5881.0,5990.0,407580444226,68043383,16012,5995.0,6150.0
2021-10-23,6110.0,6150.0,5811.0,5992.0,469178926565,78304878,17253,5990.0,5992.0
2021-10-25,5980.0,6010.0,5759.0,5901.0,459995467715,77949068,18725,5992.0,5950.0
2021-10-26,5840.0,5990.0,5830.0,5870.0,222612546400,37925689,13240,5901.0,5902.0
2021-10-27,5841.0,5951.0,5805.0,5858.0,221538393647,37816372,13138,5870.0,5873.0
2021-10-30,5880.0,6050.0,5570.0,5851.0,880374713210,150465400,29804,5858.0,6050.0
2021-10-31,6000.0,6000.0,5717.0,5779.0,253116374980,43798263,15721,5851.0,5750.0
2021-11-01,5770.0,5970.0,5770.0,5897.0,232575299794,39439360,10672,5779.0,5896.0
