date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-05-25,25001.0,25001.0,17150.0,18572.0,5571563392622,300000000,467,1000.0,17150.0
2022-05-28,19680.0,19680.0,19680.0,19680.0,95841600000,4870000,568,18572.0,19680.0
2022-05-29,20860.0,20860.0,20860.0,20550.0,74065516000,3550600,317,19680.0,20860.0
2022-05-30,21780.0,21780.0,21780.0,21780.0,104544000000,4800000,424,20550.0,21780.0
2022-05-31,23080.0,23080.0,22750.0,23080.0,2794500602250,121100606,14742,21780.0,23080.0
2022-06-01,23090.0,23250.0,22350.0,22940.0,734930983900,32035565,6309,23080.0,22520.0
2022-06-06,22400.0,22700.0,21600.0,21700.0,663858889450,30588352,3975,22940.0,21600.0
2022-06-12,21200.0,21200.0,20050.0,20600.0,225254516950,10937159,1657,20000.0,20650.0
2022-06-13,20700.0,21450.0,20600.0,20700.0,199808186800,9650087,1629,20600.0,20750.0
2022-06-14,20750.0,21900.0,20750.0,21750.0,422422088150,19428434,3097,20700.0,21900.0
2022-06-15,22100.0,22400.0,21700.0,21850.0,131209463150,5998797,1323,21750.0,21950.0
2022-06-18,21950.0,22000.0,21250.0,21700.0,138204474950,6361978,986,21850.0,21300.0
2022-06-19,21700.0,21700.0,21150.0,21250.0,106717727150,5017031,561,21700.0,21150.0
2022-06-20,21050.0,21600.0,21000.0,21150.0,117187027500,5540807,670,21250.0,21100.0
2022-06-21,21350.0,21350.0,20800.0,20850.0,92002707550,4411938,366,21150.0,20800.0
2022-06-22,20850.0,20850.0,20450.0,20650.0,61821145850,3011648,319,20850.0,20450.0
2022-06-25,20650.0,20650.0,19450.0,19950.0,117861263700,5910852,493,20650.0,19450.0
2022-06-26,20000.0,20350.0,19600.0,20000.0,131332868800,6570193,566,19950.0,20100.0
2022-06-27,20000.0,20500.0,19500.0,20000.0,62873675700,3142776,374,20000.0,20500.0
2022-06-28,20100.0,20500.0,19950.0,20050.0,55307036200,2759097,253,20000.0,19950.0
2022-06-29,20000.0,20000.0,19650.0,19750.0,250256667400,12659905,359,20050.0,19700.0
2022-07-02,20190.0,20190.0,19110.0,19280.0,32842936950,1703691,286,19750.0,19120.0
2022-07-03,19280.0,19680.0,18800.0,19230.0,127054417460,6607622,345,19280.0,19280.0
2022-07-04,19000.0,19390.0,18840.0,18920.0,31656562780,1673574,336,19230.0,18850.0
2022-07-05,18600.0,19220.0,18600.0,18920.0,24596133850,1300157,305,18920.0,18990.0
2022-07-06,19190.0,19190.0,18560.0,18700.0,33403795380,1786354,242,18920.0,19000.0
2022-07-09,18400.0,18590.0,18320.0,18360.0,16874669590,918993,202,18700.0,18330.0
2022-07-11,18610.0,18940.0,17710.0,18120.0,27997639820,1545547,248,18360.0,17900.0
2022-07-12,17660.0,18850.0,17300.0,17990.0,32076749640,1782700,244,18120.0,18150.0
2022-07-13,18800.0,19060.0,17880.0,18950.0,27344940230,1442814,377,17990.0,18950.0
2022-07-16,19440.0,19440.0,18230.0,18790.0,21886416760,1165001,174,18950.0,18280.0
2022-07-17,19000.0,19000.0,18150.0,18640.0,22823512470,1224303,231,18790.0,18900.0
2022-07-19,18870.0,18970.0,18400.0,18620.0,7443650190,399709,126,18640.0,18400.0
2022-07-20,18890.0,19000.0,18500.0,18820.0,10485667940,557269,151,18620.0,18920.0
2022-07-23,19100.0,19100.0,18430.0,18880.0,8195361140,434141,111,18820.0,18570.0
2022-07-24,18990.0,19000.0,18100.0,18560.0,38376006280,2067561,203,18880.0,18370.0
2022-07-25,18560.0,18560.0,17600.0,18090.0,18811587300,1040027,223,18560.0,17660.0
2022-07-26,17460.0,18280.0,17460.0,18000.0,22331750650,1240622,252,18090.0,18140.0
2022-07-27,18700.0,18700.0,17700.0,17990.0,5143821080,285850,83,18000.0,18190.0
2022-07-30,18400.0,18400.0,17500.0,17820.0,8793424500,493352,146,17990.0,17950.0
2022-07-31,18290.0,18290.0,17210.0,17580.0,12194488460,693553,195,17820.0,17820.0
2022-08-01,18120.0,18120.0,17160.0,17370.0,6524269840,375562,112,17580.0,17600.0
2022-08-02,17960.0,17960.0,17150.0,17320.0,6544899870,377885,117,17370.0,17200.0
2022-08-03,17560.0,17570.0,17050.0,17240.0,14048489610,814676,207,17320.0,17490.0
2022-08-06,17250.0,17450.0,17010.0,17170.0,20481219880,1193173,223,17240.0,17270.0
2022-08-09,17170.0,17300.0,16930.0,17210.0,13305084280,772969,192,17170.0,17300.0
2022-08-10,17210.0,17290.0,17020.0,17180.0,9062523550,527612,96,17210.0,17220.0
2022-08-13,17200.0,17980.0,17020.0,17550.0,10452856580,595719,148,17180.0,17770.0
2022-08-14,17970.0,17970.0,17270.0,17590.0,11376012910,646715,105,17550.0,17270.0
2022-08-15,17590.0,17780.0,17110.0,17400.0,8913538270,512419,109,17590.0,17150.0
2022-08-16,17400.0,17450.0,16900.0,17070.0,10777903880,631486,143,17400.0,16900.0
2022-08-17,17070.0,17250.0,16810.0,16970.0,11615606580,684429,119,17070.0,17070.0
2022-08-20,16980.0,17100.0,16800.0,16880.0,15326456680,908211,94,16970.0,16830.0
2022-08-21,16750.0,16900.0,16320.0,16650.0,17174362670,1031280,178,16880.0,16600.0
2022-08-22,16870.0,16870.0,16500.0,16650.0,8321911110,499705,73,16650.0,16570.0
2022-08-23,16700.0,17260.0,16480.0,17000.0,26823911040,1578264,176,16650.0,17000.0
2022-08-24,17000.0,17880.0,16950.0,17470.0,77941523060,4461109,278,17000.0,17350.0
2022-08-27,17800.0,17800.0,16940.0,17360.0,54891176010,3161214,227,17470.0,17000.0
2022-08-28,17190.0,17510.0,16900.0,17180.0,125088832100,7279254,315,17360.0,17100.0
2022-08-29,17010.0,17300.0,16500.0,16800.0,48657604800,2897076,349,17180.0,16620.0
2022-08-30,16800.0,16970.0,16430.0,16770.0,91464043550,5453484,411,16800.0,16800.0
2022-08-31,16520.0,16750.0,16300.0,16420.0,33124132840,2017189,257,16770.0,16750.0
2022-09-03,16420.0,16500.0,15920.0,16140.0,40624756170,2516722,271,16420.0,16130.0
2022-09-04,15970.0,16530.0,15800.0,16430.0,265286489700,16148734,683,16140.0,16450.0
2022-09-05,16550.0,16890.0,16440.0,16540.0,69251093700,4186948,398,16430.0,16580.0
2022-09-06,16930.0,16980.0,16600.0,16870.0,59142402800,3506342,342,16540.0,16900.0
