date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-05-10,10000.0,10000.0,10000.0,10000.0,16458080000,1645808,86,10000.0,10000.0
2022-05-11,10000.0,10000.0,10000.0,10000.0,100419080000,10041908,138,10000.0,10000.0
2022-05-14,10000.0,10000.0,10000.0,10000.0,873122840000,87312284,950,10000.0,10000.0
2022-07-02,10282.0,10284.0,10282.0,10282.0,10970740762,1066985,31,10000.0,10284.0
2022-07-03,10290.0,10290.0,10288.0,10289.0,249642994,24263,15,10282.0,10290.0
2022-07-04,10294.0,10296.0,10294.0,10296.0,13138666220,1276145,45,10289.0,10296.0
2022-07-05,10301.0,10301.0,10299.0,10300.0,455560070,44229,6,10296.0,10299.0
2022-07-06,10305.0,10307.0,10305.0,10306.0,468216959,45433,10,10300.0,10307.0
2022-07-09,10322.0,10324.0,10322.0,10323.0,372025496,36038,9,10306.0,10323.0
2022-07-11,10335.0,10336.0,10334.0,10335.0,1132679141,109596,10,10323.0,10335.0
2022-07-12,10340.0,10341.0,10340.0,10340.0,51838420345,5013203,113,10335.0,10340.0
2022-07-13,10346.0,10348.0,10346.0,10347.0,479404432,46332,9,10340.0,10348.0
2022-07-16,10363.0,10365.0,10363.0,10364.0,216323599,20873,12,10347.0,10365.0
2022-07-17,10372.0,10372.0,10371.0,10371.0,82576004354,7962169,163,10364.0,10372.0
2022-07-19,10384.0,10384.0,10383.0,10384.0,712734092,68638,18,10371.0,10383.0
2022-07-20,10390.0,10390.0,10390.0,10390.0,296125390,28501,12,10384.0,10390.0
2022-07-23,10407.0,10408.0,10407.0,10407.0,387522111,37235,14,10390.0,10408.0
2022-07-24,10414.0,10414.0,10413.0,10413.0,22600613742,2170408,60,10407.0,10413.0
2022-07-25,10419.0,10419.0,10418.0,10418.0,21409573464,2055051,46,10413.0,10419.0
2022-07-26,10423.0,10424.0,10423.0,10423.0,1254762762,120383,7,10418.0,10424.0
2022-07-27,10430.0,10430.0,10429.0,10429.0,39267149450,3765115,66,10423.0,10430.0
2022-07-30,10448.0,10448.0,10447.0,10448.0,4546736744,435178,32,10429.0,10448.0
2022-07-31,10454.0,10454.0,10453.0,10453.0,448224915,42878,8,10448.0,10454.0
2022-08-01,10459.0,10460.0,10459.0,10459.0,26189516303,2504017,56,10453.0,10460.0
2022-08-02,10465.0,10466.0,10465.0,10465.0,169418364,16189,5,10459.0,10465.0
2022-08-03,10471.0,10471.0,10470.0,10471.0,771617360,73693,17,10465.0,10471.0
2022-08-06,10488.0,10489.0,10488.0,10489.0,1763093729,168091,7,10471.0,10489.0
2022-08-09,10507.0,10507.0,10506.0,10506.0,21779100064,2073009,51,10489.0,10507.0
2022-08-10,10512.0,10513.0,10512.0,10513.0,6466493201,615102,28,10506.0,10513.0
2022-08-13,10529.0,10530.0,10529.0,10530.0,6899203643,655206,20,10513.0,10530.0
2022-08-14,10536.0,10536.0,10535.0,10536.0,394887780,37480,7,10530.0,10536.0
2022-08-15,10542.0,10542.0,10541.0,10541.0,16473745608,1562824,19,10536.0,10541.0
2022-08-16,10547.0,10548.0,10547.0,10547.0,11832562345,1121880,31,10541.0,10548.0
2022-08-17,10553.0,10554.0,10553.0,10553.0,42624975878,4039131,88,10547.0,10553.0
2022-08-20,10572.0,10573.0,10572.0,10572.0,1720692149,162759,13,10553.0,10573.0
2022-08-21,10579.0,10579.0,10575.0,10577.0,106266175314,10046566,193,10572.0,10578.0
2022-08-22,10585.0,10585.0,10584.0,10584.0,4207166168,397502,13,10577.0,10585.0
2022-08-23,10590.0,10590.0,10589.0,10589.0,106926052693,10097841,211,10584.0,10589.0
2022-08-24,10595.0,10596.0,10595.0,10596.0,743530636,70171,12,10589.0,10596.0
2022-08-27,10613.0,10614.0,10613.0,10613.0,1504026842,141715,12,10596.0,10613.0
2022-08-28,10618.0,10619.0,10618.0,10618.0,1649506800,155350,5,10613.0,10618.0
2022-08-29,10625.0,10625.0,10624.0,10625.0,46279759500,4355884,89,10618.0,10624.0
2022-08-30,10630.0,10630.0,10629.0,10630.0,2676606784,251798,10,10625.0,10630.0
2022-08-31,10635.0,10636.0,10635.0,10635.0,3387039100,318475,7,10630.0,10636.0
2022-09-03,10654.0,10654.0,10653.0,10653.0,89667301,8417,5,10635.0,10653.0
2022-09-04,10659.0,10660.0,10659.0,10660.0,1254297540,117664,10,10653.0,10660.0
2022-09-05,10665.0,10666.0,10665.0,10666.0,1073666058,100663,6,10660.0,10666.0
2022-09-06,10671.0,10672.0,10671.0,10672.0,519116296,48643,4,10666.0,10672.0
2022-09-07,10678.0,10678.0,10677.0,10678.0,3599305818,337081,16,10672.0,10678.0
2022-09-10,10696.0,10696.0,10695.0,10695.0,86841297675,8119755,49,10678.0,10695.0
2022-09-11,10701.0,10701.0,10701.0,10701.0,50112997020,4683020,14,10695.0,10701.0
2022-09-12,10708.0,10709.0,10708.0,10708.0,60717079377,5670253,8,10701.0,10709.0
2022-09-13,10714.0,10715.0,10714.0,10715.0,665378134,62098,3,10708.0,10715.0
2022-09-14,10721.0,10728.0,10721.0,10727.0,1250384064,116563,14,10715.0,10728.0
2022-09-18,10765.0,10765.0,10764.0,10765.0,4543215541,422036,17,10727.0,10765.0
2022-09-19,10770.0,10770.0,10769.0,10769.0,235484963,21866,6,10765.0,10769.0
2022-09-20,10775.0,10776.0,10775.0,10776.0,3106956426,288322,9,10769.0,10776.0
2022-09-21,10782.0,10782.0,10781.0,10782.0,4528459746,420004,15,10776.0,10782.0
2022-09-24,10796.0,10797.0,10796.0,10797.0,2737778009,253571,23,10782.0,10797.0
2022-09-26,10808.0,10809.0,10808.0,10809.0,2053191079,189954,20,10797.0,10809.0
2022-09-28,10822.0,10822.0,10821.0,10821.0,4551818525,420640,21,10809.0,10822.0
