date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-08-08,5553.0,5553.0,5553.0,5553.0,12110804244,2180948,1094,1000.0,5553.0
2021-08-09,5719.0,5719.0,5719.0,5651.0,6068156388,1061052,543,5553.0,5719.0
2021-08-10,5820.0,5820.0,5820.0,5726.0,4667640000,802000,416,5651.0,5820.0
2021-08-11,5897.0,5897.0,5897.0,5805.0,4882716000,828000,433,5726.0,5897.0
2021-08-14,6095.0,6095.0,6095.0,5947.0,5153322500,845500,457,5805.0,6095.0
2021-08-15,6125.0,6125.0,6125.0,6030.0,4929706250,804850,414,5947.0,6125.0
2021-08-22,6210.0,6210.0,6210.0,6118.0,5031205380,810178,422,6030.0,6210.0
2021-08-23,6301.0,6301.0,6301.0,6207.0,5060408712,803112,418,6118.0,6301.0
2021-08-24,6517.0,6517.0,6517.0,6517.0,3936268000,604000,312,6207.0,6517.0
2021-08-25,6712.0,6712.0,6712.0,6712.0,4221848000,629000,337,6517.0,6712.0
2021-08-28,6913.0,6913.0,6913.0,6913.0,4168539000,603000,314,6712.0,6913.0
2021-08-29,7120.0,7120.0,7120.0,7120.0,4781727920,671591,381,6913.0,7120.0
2021-08-30,7476.0,7476.0,7476.0,7476.0,4650072000,622000,329,7120.0,7476.0
2021-08-31,7700.0,7700.0,7700.0,7483.0,137452700,17851,20,7476.0,7700.0
2021-09-01,7707.0,7707.0,7707.0,7551.0,1408330938,182734,186,7483.0,7707.0
2021-09-04,7777.0,7777.0,7777.0,7615.0,1312042116,168708,169,7551.0,7777.0
2021-11-20,1821.0,1875.0,1767.0,1849.0,79087149908,42783407,26748,1305.0,1875.0
2021-11-21,1904.0,1904.0,1904.0,1904.0,31868689328,16737757,2059,1849.0,1904.0
2021-11-22,1961.0,1961.0,1961.0,1961.0,29479079597,15032677,1637,1904.0,1961.0
2021-11-23,2019.0,2019.0,2019.0,2019.0,8749110372,4333388,494,1961.0,2019.0
2021-11-24,2119.0,2119.0,2119.0,2119.0,9029891767,4261393,468,2019.0,2119.0
2021-11-27,2182.0,2182.0,2056.0,2150.0,143924479321,66945572,13447,2119.0,2056.0
2021-11-28,2086.0,2086.0,2086.0,2116.0,3832417974,1837209,309,2150.0,2086.0
2021-11-29,2053.0,2178.0,2053.0,2081.0,30896490975,14845226,3046,2116.0,2143.0
2021-11-30,2129.0,2143.0,2024.0,2132.0,39891462541,18711096,3660,2081.0,2143.0
2021-12-01,2170.0,2170.0,2069.0,2082.0,13627037870,6545099,1187,2132.0,2069.0
2021-12-04,2033.0,2100.0,2020.0,2066.0,2063169662,1018308,197,2082.0,2020.0
2021-12-05,2005.0,2005.0,2005.0,2064.0,243745845,121569,23,2066.0,2005.0
2021-12-06,1961.0,2020.0,1961.0,1979.0,5687144611,2899821,607,2064.0,1961.0
2021-12-07,1920.0,1920.0,1920.0,1922.0,6468794880,3369164,694,1979.0,1920.0
2021-12-08,1902.0,1948.0,1865.0,1874.0,14138857326,7545762,1541,1922.0,1917.0
2021-12-11,1925.0,1925.0,1818.0,1827.0,8515514072,4659861,861,1874.0,1818.0
2021-12-12,1781.0,1781.0,1773.0,1776.0,5871957392,3311104,639,1827.0,1774.0
2021-12-13,1731.0,1829.0,1723.0,1772.0,13354319515,7536308,1487,1776.0,1723.0
2021-12-14,1720.0,1750.0,1719.0,1728.0,5122971789,2978732,604,1772.0,1719.0
2021-12-15,1677.0,1765.0,1677.0,1678.0,13446394618,8011875,1550,1728.0,1677.0
2021-12-18,1644.0,1728.0,1644.0,1725.0,5944539167,3444134,689,1678.0,1728.0
2021-12-19,1776.0,1776.0,1755.0,1775.0,9841267549,5545665,1068,1725.0,1776.0
2021-12-20,1827.0,1828.0,1827.0,1820.0,5395785576,2951777,608,1775.0,1828.0
2021-12-21,1911.0,1911.0,1866.0,1905.0,13241500345,6952303,1337,1820.0,1898.0
2021-12-22,1851.0,1925.0,1848.0,1869.0,5979927484,3204972,622,1905.0,1848.0
2021-12-25,1813.0,1848.0,1813.0,1815.0,6164639752,3399159,701,1869.0,1813.0
2021-12-26,1761.0,1762.0,1761.0,1761.0,9854677006,5596046,1135,1815.0,1761.0
2021-12-27,1695.0,1825.0,1676.0,1732.0,5617219665,3248128,640,1761.0,1747.0
2021-12-28,1695.0,1756.0,1681.0,1683.0,13287899934,7895881,1596,1732.0,1715.0
2021-12-29,1661.0,1702.0,1633.0,1644.0,10994800894,6688366,1326,1683.0,1690.0
2022-01-01,1693.0,1693.0,1641.0,1667.0,4135848792,2466694,463,1644.0,1688.0
2022-01-02,1693.0,1717.0,1622.0,1689.0,6127613859,3628409,716,1667.0,1717.0
2022-01-03,1739.0,1739.0,1690.0,1733.0,7822947772,4513632,893,1689.0,1690.0
2022-01-04,1691.0,1706.0,1682.0,1692.0,4944640988,2935912,583,1733.0,1682.0
2022-01-05,1651.0,1742.0,1642.0,1722.0,10173610220,5907217,1181,1692.0,1742.0
2022-01-08,1723.0,1773.0,1723.0,1752.0,4144399623,2345914,421,1722.0,1773.0
2022-01-09,1804.0,1804.0,1800.0,1785.0,4052980208,2246762,427,1752.0,1804.0
2022-01-10,1803.0,1874.0,1766.0,1853.0,8546469520,4613068,918,1785.0,1874.0
2022-01-11,1853.0,1908.0,1853.0,1889.0,4465092924,2341516,470,1853.0,1886.0
2022-01-12,1836.0,1945.0,1835.0,1939.0,9814247572,5061495,949,1889.0,1945.0
2022-01-15,1995.0,1997.0,1883.0,1997.0,19864333453,9947709,2028,1939.0,1997.0
2022-01-16,2056.0,2056.0,2056.0,2056.0,10321967072,5020412,879,1997.0,2056.0
