date,open,high,low,adjClose,value,volume,count,yesterday,close
2015-04-20,690.0,745.0,690.0,738.0,86494017,117236,52,4300.0,745.0
2015-04-21,797.0,797.0,754.0,791.0,723421980,914336,138,738.0,772.0
2015-04-22,789.0,820.0,734.0,767.0,172565402,224987,54,791.0,750.0
2015-04-25,750.0,750.0,708.0,729.0,51082818,70116,34,767.0,714.0
2015-04-26,706.0,706.0,671.0,677.0,35441624,52319,14,729.0,683.0
2015-04-27,726.0,650.0,637.0,646.0,41420404,64105,20,677.0,637.0
2015-04-28,640.0,640.0,610.0,624.0,48550820,77818,36,646.0,611.0
2015-04-29,613.0,624.0,610.0,614.0,44601021,72624,29,624.0,610.0
2015-05-03,595.0,659.0,595.0,598.0,3852912,6444,8,614.0,595.0
2015-05-04,570.0,600.0,570.0,589.0,10142890,17217,6,598.0,600.0
2015-05-05,594.0,594.0,570.0,581.0,57564000,99000,20,589.0,570.0
2015-05-06,558.0,565.0,535.0,550.0,188937123,343370,43,581.0,564.0
2015-05-09,507.0,508.0,506.0,506.0,459030092,906973,46,550.0,506.0
2015-05-10,468.0,537.0,468.0,501.0,33166177,66228,16,506.0,534.0
2015-05-11,488.0,541.0,488.0,540.0,361635491,669373,78,501.0,541.0
2015-05-12,583.0,583.0,578.0,582.0,90214859,154896,14,540.0,583.0
2015-05-13,628.0,628.0,628.0,628.0,94074400,149800,22,582.0,628.0
2015-05-17,678.0,678.0,674.0,678.0,422469471,623222,65,628.0,678.0
2015-05-18,650.0,713.0,650.0,701.0,131969652,188239,27,678.0,701.0
2015-05-19,717.0,717.0,671.0,704.0,188740288,268238,17,701.0,700.0
2015-05-20,674.0,675.0,674.0,675.0,4128380,6120,4,704.0,675.0
2015-05-24,612.0,650.0,612.0,647.0,25089286,38751,7,675.0,650.0
2015-05-25,600.0,670.0,600.0,664.0,39288547,59198,14,647.0,670.0
2015-05-26,680.0,684.0,640.0,675.0,65619440,97143,4,664.0,640.0
2015-05-27,669.0,670.0,616.0,662.0,15433105,23304,8,675.0,616.0
2015-05-30,600.0,650.0,599.0,627.0,17486610,27875,12,662.0,650.0
2015-05-31,630.0,630.0,620.0,630.0,71991640,114279,17,627.0,630.0
2015-06-01,630.0,660.0,630.0,653.0,98008820,150000,14,630.0,660.0
2015-06-02,590.0,590.0,590.0,590.0,3538820,5998,2,653.0,590.0
2015-06-06,593.0,593.0,593.0,593.0,10081000,17000,1,590.0,593.0
2015-06-07,600.0,646.0,600.0,623.0,25469146,40895,13,593.0,646.0
2015-06-08,582.0,623.0,582.0,619.0,213394979,344878,22,623.0,610.0
2015-06-09,593.0,593.0,593.0,593.0,19090449,32193,2,619.0,593.0
2015-06-10,540.0,600.0,540.0,565.0,193257674,341868,25,593.0,600.0
2015-06-13,619.0,621.0,619.0,621.0,128627623,207211,46,565.0,621.0
2015-06-14,611.0,652.0,611.0,626.0,40683674,64984,12,621.0,652.0
2015-06-15,573.0,650.0,573.0,634.0,64562027,101821,8,626.0,650.0
2015-06-16,582.0,690.0,582.0,662.0,335176362,506475,55,634.0,669.0
2015-09-26,450.0,450.0,450.0,450.0,450000000,1000000,10,662.0,450.0
2015-09-27,440.0,440.0,440.0,440.0,884855400,2011035,22,450.0,440.0
2015-09-28,450.0,450.0,450.0,450.0,1383750000,3075000,43,440.0,450.0
2015-09-29,450.0,450.0,450.0,450.0,900000000,2000000,20,450.0,450.0
2015-09-30,450.0,450.0,450.0,450.0,1138795200,2530656,28,450.0,450.0
2015-10-03,450.0,450.0,450.0,450.0,7044641550,15654759,223,450.0,450.0
2015-10-04,450.0,450.0,450.0,450.0,9049500000,20110000,202,450.0,450.0
2015-10-05,450.0,450.0,450.0,450.0,17054023500,37897830,762,450.0,450.0
2022-10-15,2700.0,2712.0,2525.0,2640.0,26147061300,9902435,1304,450.0,2690.0
