date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-06-01,18000.0,18000.0,12520.0,14695.0,504044718020,34300000,127,1000.0,12520.0
2022-06-06,15420.0,15420.0,15420.0,15130.0,9467864580,613999,42,14695.0,15420.0
2022-06-07,15880.0,15880.0,15880.0,15880.0,198376104240,12492198,761,15130.0,15880.0
2022-06-08,16670.0,16670.0,15910.0,16640.0,429852915550,25828668,2855,15880.0,16670.0
2022-06-11,16890.0,17440.0,16210.0,16930.0,326517458020,19283695,3784,16640.0,16400.0
2022-06-12,16590.0,16590.0,16090.0,16120.0,99269750490,6156780,1211,16930.0,16090.0
2022-06-13,15990.0,16200.0,15320.0,15600.0,130688691440,8377081,2021,16120.0,15480.0
2022-06-14,15400.0,16380.0,15340.0,16070.0,101441476180,6311372,1524,15600.0,16100.0
2022-06-15,16240.0,16870.0,15610.0,16750.0,77239856670,4610611,806,16070.0,16870.0
2022-06-18,17290.0,17290.0,15920.0,16360.0,76499215870,4675604,999,16750.0,15940.0
2022-06-19,16290.0,16480.0,15740.0,16100.0,21934464510,1362354,460,16360.0,16100.0
2022-06-20,15770.0,16200.0,15300.0,15530.0,60346688500,3886650,603,16100.0,15300.0
2022-06-21,15550.0,16090.0,15530.0,15690.0,27270115650,1738312,349,15530.0,15530.0
2022-06-22,15310.0,15960.0,15000.0,15340.0,21811779530,1421610,317,15690.0,15050.0
2022-06-25,15500.0,15700.0,14580.0,14900.0,28956002150,1943685,372,15340.0,14930.0
2022-06-26,15000.0,15260.0,14750.0,15010.0,18813727630,1253694,233,14900.0,15010.0
2022-06-27,15060.0,15220.0,14740.0,15040.0,15562823100,1034466,221,15010.0,14800.0
2022-06-28,15190.0,15550.0,15050.0,15240.0,8100009370,531439,211,15040.0,15270.0
2022-06-29,15250.0,16000.0,15010.0,15670.0,28315526600,1806883,390,15240.0,16000.0
2022-07-02,16400.0,16400.0,15770.0,16150.0,25488684730,1578373,384,15670.0,16180.0
2022-07-03,16060.0,16350.0,15700.0,16160.0,29691358790,1836952,344,16150.0,16180.0
2022-07-04,16340.0,16420.0,15800.0,16100.0,15224155670,945686,188,16160.0,16000.0
2022-07-05,16310.0,16310.0,15340.0,15630.0,11307888170,723579,149,16100.0,15400.0
2022-07-06,15170.0,15970.0,15150.0,15560.0,5399027490,347005,143,15630.0,15330.0
2022-07-09,16000.0,16000.0,14790.0,15190.0,35515503790,2338632,315,15560.0,15380.0
2022-07-11,15550.0,15650.0,15060.0,15230.0,6868789370,451079,151,15190.0,15190.0
2022-07-12,14750.0,15790.0,14750.0,15050.0,13235252020,879161,178,15230.0,15010.0
2022-07-19,15400.0,15400.0,14180.0,14710.0,80438324610,5469850,270,14910.0,14190.0
2022-07-20,14700.0,15100.0,14400.0,14750.0,27673472690,1875950,239,14710.0,14600.0
2022-07-23,14760.0,14880.0,14340.0,14590.0,10655223520,730266,168,14750.0,14400.0
2022-07-24,14600.0,14690.0,13870.0,14000.0,21149780090,1510433,180,14590.0,13870.0
2022-07-25,14000.0,14300.0,13300.0,13820.0,26642740000,1928397,227,14000.0,13300.0
2022-07-26,13800.0,14190.0,13140.0,13800.0,22960946710,1663398,324,13820.0,13850.0
2022-07-27,14100.0,14250.0,13490.0,13930.0,12850694950,922482,139,13800.0,13520.0
2022-07-30,13550.0,14490.0,13240.0,13420.0,30902918660,2302176,254,13930.0,13240.0
2022-07-31,13200.0,13200.0,12750.0,12850.0,4936667520,384220,80,13420.0,12750.0
2022-08-01,12450.0,13490.0,12210.0,13110.0,59050750570,4504428,426,12850.0,13490.0
2022-08-02,13730.0,13760.0,13320.0,13750.0,57860620250,4207184,332,13110.0,13760.0
2022-08-03,14430.0,14430.0,14150.0,14430.0,76059191090,5271136,208,13750.0,14430.0
2022-08-06,15150.0,15150.0,15150.0,15150.0,50253186300,3317042,116,14430.0,15150.0
