date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-06-11,4080.0,4080.0,4080.0,4080.0,1224000,300,1,4080.0,4080.0
2001-06-12,4080.0,4080.0,4080.0,4080.0,204000,50,1,4080.0,4080.0
2001-07-31,4000.0,4100.0,4000.0,4100.0,12110640,2983,3,4080.0,4100.0
2001-08-06,4100.0,4100.0,4100.0,4100.0,4100000,1000,1,4100.0,4100.0
2001-08-18,4100.0,4100.0,4100.0,4100.0,1230000,300,1,4100.0,4100.0
2001-09-08,4110.0,4110.0,4110.0,4110.0,123300000,30000,3,4100.0,4110.0
2001-09-09,4300.0,4300.0,4300.0,4300.0,2150000,500,1,4110.0,4300.0
2001-09-11,4400.0,4400.0,4400.0,4400.0,88000000,20000,2,4300.0,4400.0
2001-09-19,4500.0,4500.0,4500.0,4500.0,90000000,20000,2,4400.0,4500.0
2001-09-25,4620.0,4620.0,4620.0,4620.0,2310000,500,1,4500.0,4620.0
2001-09-30,4700.0,4700.0,4700.0,4700.0,47000000,10000,1,4620.0,4700.0
2001-10-02,4750.0,4750.0,4750.0,4750.0,105526000,22216,4,4700.0,4750.0
2001-10-07,4800.0,4800.0,4800.0,4800.0,96000000,20000,2,4750.0,4800.0
2001-10-08,4800.0,4800.0,4800.0,4800.0,25358400,5283,1,4800.0,4800.0
2001-10-20,4850.0,4850.0,4850.0,4850.0,97000000,20000,2,4800.0,4850.0
2001-10-23,4850.0,4850.0,4850.0,4850.0,1940000,400,2,4850.0,4850.0
2001-10-24,4900.0,4900.0,4900.0,4900.0,98000000,20000,2,4850.0,4900.0
2001-10-27,4920.0,4920.0,4920.0,4920.0,98400000,20000,2,4900.0,4920.0
2001-11-03,4950.0,4950.0,4950.0,4950.0,99000000,20000,2,4920.0,4950.0
2001-11-06,4970.0,4970.0,4970.0,4970.0,99400000,20000,2,4950.0,4970.0
2001-11-11,5000.0,5000.0,5000.0,5000.0,8500000,1700,1,4970.0,5000.0
2001-11-14,5000.0,5000.0,5000.0,5000.0,107500000,21500,4,5000.0,5000.0
2001-12-01,5010.0,5010.0,5010.0,5010.0,100200000,20000,2,5000.0,5010.0
2001-12-12,5030.0,5030.0,5030.0,5030.0,100600000,20000,2,5010.0,5030.0
2002-01-06,5281.0,5281.0,5281.0,5281.0,15843000,3000,1,5030.0,5281.0
2002-01-08,5281.0,5281.0,5281.0,5281.0,120491296,22816,3,5281.0,5281.0
2002-01-28,5281.0,5281.0,5281.0,5281.0,2640500,500,1,5281.0,5281.0
2002-02-27,5200.0,5281.0,5200.0,5281.0,9465300,1800,2,5281.0,5281.0
2002-06-16,5413.0,5413.0,5413.0,5413.0,53128595,9815,2,5281.0,5413.0
2002-06-29,5413.0,5413.0,5413.0,5413.0,10826000,2000,1,5413.0,5413.0
2002-07-06,5412.0,5412.0,5412.0,5412.0,21648000,4000,7,5413.0,5412.0
2002-07-07,5413.0,5413.0,5413.0,5413.0,2706500,500,1,5412.0,5413.0
2002-07-14,5412.0,5412.0,5412.0,5412.0,5412000,1000,2,5413.0,5412.0
2002-07-31,5500.0,5500.0,5500.0,5500.0,5500000,1000,1,5412.0,5500.0
2002-08-21,5500.0,5500.0,5500.0,5500.0,33000000,6000,1,5500.0,5500.0
2002-10-06,5500.0,5500.0,5500.0,5500.0,110000000,20000,3,5500.0,5500.0
2002-10-08,5530.0,5530.0,5530.0,5530.0,110600000,20000,2,5500.0,5530.0
2002-10-12,5570.0,5570.0,5570.0,5570.0,278500000,50000,5,5530.0,5570.0
2002-10-15,5600.0,5600.0,5600.0,5600.0,280000000,50000,5,5570.0,5600.0
2002-10-19,5630.0,5630.0,5630.0,5630.0,281500000,50000,5,5600.0,5630.0
2002-10-21,5660.0,5660.0,5660.0,5660.0,283000000,50000,5,5630.0,5660.0
2002-10-27,5680.0,5680.0,5680.0,5680.0,284000000,50000,5,5660.0,5680.0
2002-11-02,5700.0,5700.0,5700.0,5700.0,285000000,50000,5,5680.0,5700.0
2002-11-06,5720.0,5720.0,5720.0,5720.0,286000000,50000,5,5700.0,5720.0
2002-11-11,5720.0,5720.0,5720.0,5720.0,572000000,100000,10,5720.0,5720.0
